_step,training/rollout_probs_diff_max,training/rollout_probs_diff_min,train/vllm_kl,val-core/math_dapo/acc/mean@32
5,0.9999996423721312,-0.15084457397460938,0.0012510697124525905,0.084375
10,0.9999997615814208,-0.2434906959533691,0.0013064141385257244,0.146875
15,1.0,-0.2626280188560486,0.001303502474911511,0.17291666666666666
20,1.0,-0.21056675910949707,0.0013194099301472306,0.21770833333333336
25,1.0,-0.37304216623306274,0.0012962659820914268,0.2125
30,1.0,-0.3308573365211487,0.0012300481321290135,0.234375
35,1.0,-0.30325281620025635,0.0012429757043719292,0.23645833333333333
40,1.0,-0.5684525966644287,0.0012498762225732207,0.253125
45,1.0,-0.47563889622688293,0.0012224327074363828,0.2677083333333333
50,0.9999998807907104,-0.49453604221343994,0.0011918471427634358,0.28229166666666666
55,1.0,-0.6293818950653076,0.0012305870186537504,0.2833333333333333
60,0.9999997615814208,-0.26369374990463257,0.0012104533379897475,0.3020833333333333
65,0.9999997615814208,-0.2694832384586334,0.0012303164694458246,0.3
70,1.0,-0.7458947896957397,0.0011677517322823403,0.30104166666666665
75,0.9999997615814208,-0.5552394390106201,0.001173212891444564,0.29270833333333335
80,0.9999998807907104,-0.6144790053367615,0.0011592460796236992,0.30104166666666665
85,1.0,-0.8413179516792297,0.0011729912366718054,0.33645833333333336
90,0.9999987483024596,-0.4405149817466736,0.001121359644457698,0.33125
95,0.9999996423721312,-0.7461893558502197,0.0011309063993394377,0.340625
100,0.9999992847442628,-0.34868431091308594,0.0011674935230985284,0.29270833333333335
105,0.9999996423721312,-0.4922758936882019,0.001151330885477364,0.3302083333333333
110,0.9999997615814208,-0.4150663018226623,0.0011609230423346162,0.3260416666666667
115,0.9999991655349731,-0.4301300644874573,0.0011380797950550914,0.34479166666666666
120,0.999994158744812,-0.2905248999595642,0.0011382157681509852,0.33125
125,0.9999995231628418,-0.8573991656303406,0.0011379173956811428,0.3104166666666667
130,0.9999948740005492,-0.8274702429771423,0.001141081564128399,0.33645833333333336
135,0.9999977350234984,-0.3769281208515167,0.001139983767643571,0.3302083333333333
140,0.9999990463256836,-0.4699286222457886,0.001111189485527575,0.328125
145,0.9999998807907104,-0.9587597846984864,0.001082834554836154,0.371875
150,0.9999960660934448,-0.4573501944541931,0.00109916552901268,0.365625
155,0.9999988675117492,-0.39474883675575256,0.0010821064934134483,0.3645833333333333
160,0.999996542930603,-0.8582403659820557,0.0010650323238223791,0.37395833333333334
165,0.9999969005584716,-0.5492060780525208,0.0010455810697749255,0.40625
170,0.9999934434890748,-0.4533053040504456,0.0010571199236437678,0.4010416666666667
175,0.9999935626983644,-0.46849459409713745,0.0010692288633435965,0.4041666666666667
180,0.9999960660934448,-0.7620624899864197,0.0010283110896125436,0.40520833333333334
185,0.999982476234436,-0.9777364134788512,0.001036934438161552,0.4010416666666667
190,0.999987006187439,-0.5457174777984619,0.0010149391600862143,0.415625
195,0.9999995231628418,-0.8371754288673401,0.001038262853398919,0.4270833333333333
